2,8,10,17,1,62863,16834,1,0,0,0
2,8,10,17,1,52355,16832,1,0,0,0
2,8,10,17,1,10416,16833,1,0,0,0
2,8,10,17,1,52355,16832,1,0,0,0
2,8,10,17,1,52355,16832,1,0,0,0
2,8,10,17,1,57609,16833,1,0,0,0
2,8,10,17,1,52355,16832,1,0,0,0
2,8,10,17,1,36593,16829,1,0,0,0
2,8,10,17,1,34012,16833,1,0,0,0
2,8,10,17,1,28758,16832,1,0,0,0
2,8,10,17,1,57609,16833,1,0,0,0
2,8,10,17,1,52355,16832,1,0,0,0
2,8,10,17,1,15670,16834,1,0,0,0
2,8,10,17,1,47101,16831,1,0,0,0
2,8,10,17,1,28758,16832,1,0,0,0
2,8,10,17,1,5162,16832,0,0,0,0
2,8,9,17,1,10416,16833,0,0,0,0
2,8,10,17,1,44520,16835,0,0,0,0
2,8,10,17,1,57609,16833,0,0,0,0
2,8,10,17,1,10416,16833,0,0,0,0
2,8,10,17,1,57609,16833,0,0,0,0
2,8,10,17,1,2581,16836,0,0,0,0
2,8,10,17,1,52355,16832,0,0,0,0
2,8,10,17,1,52355,16832,0,0,0,0
2,8,10,17,1,34012,16833,0,0,0,0
2,8,10,17,1,52355,16832,0,0,0,0
2,8,10,17,1,39266,16834,0,0,0,0
2,8,10,17,1,34012,16833,0,0,0,0
2,8,10,17,1,10416,16833,0,0,0,0
2,8,10,17,1,52355,16832,0,0,0,0
2,8,10,17,1,5162,16832,0,0,0,0
2,8,10,17,1,34012,16833,0,0,0,0
2,8,10,17,1,34012,16833,0,0,0,0
2,8,10,17,1,39266,16834,0,0,0,0
2,8,10,17,1,39266,16834,0,0,0,0
2,8,10,17,1,15670,16834,0,0,0,0
2,8,10,17,1,62863,16834,0,0,0,0
2,8,10,17,1,57609,16833,0,0,0,0
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,4,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,4,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,4,17,3,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,4,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
1,2,2,3,8,9,10,3,17,2,1
